asset,window_id,reference_date,window_start_date,window_end_date,tau,embedding_dimension,n_window_obs,n_embedding_points,homology_dimension,tp_h1_real,n_h1_features_real,surrogate_count,surrogate_mean,surrogate_std,surrogate_median,surrogate_min,surrogate_max,envelope_lower,envelope_upper,lower_quantile,upper_quantile,above_envelope,below_envelope,inside_envelope,distance_to_surrogate_mean,z_score_vs_surrogates,n_h1_features,volatility_window,volatility_annualized
PETR4.SA,373,2017-10-06,2017-07-17,2017-10-06,3,5,60,48,1,5.606979131698608,30,1000,2.2200243271291256,1.042968118159908,2.058240234851837,0.26124346256256104,6.5565266609191895,0.5835080400109292,4.63086321055889,0.025,0.975,True,False,False,3.386954804569483,3.247419308027395,30,0.017711115225137304,0.2811552379639383
PETR4.SA,375,2017-10-20,2017-07-31,2017-10-20,3,5,60,48,1,5.2039642333984375,22,1000,2.234936865389347,1.0158020755239383,2.1106916666030884,0.17568111419677734,6.443693518638611,0.6141590029001236,4.57176561653614,0.025,0.975,True,False,False,2.9690273680090904,2.9228404229019738,22,0.016457025670145013,0.26124718345805875
PETR4.SA,397,2018-03-28,2018-01-02,2018-03-28,3,5,60,48,1,4.504345417022705,24,1000,2.1864786952733994,1.0024841431743483,2.086120218038559,0.14871695637702942,6.956722974777222,0.6457539349794388,4.418325072526931,0.025,0.975,True,False,False,2.3178667217493056,2.3121230769893493,24,0.022076316512045772,0.35045066013133186
PETR4.SA,398,2018-04-05,2018-01-09,2018-04-05,3,5,60,48,1,5.522106647491455,26,1000,2.1559551102519037,0.997864233847925,2.0504754781723022,0.2808251976966858,6.994700193405151,0.6364386051893234,4.36997109055519,0.025,0.975,True,False,False,3.3661515372395514,3.3733562373100896,26,0.02277737789680574,0.3615796645985245
PETR4.SA,402,2018-05-04,2018-02-06,2018-05-04,3,5,60,48,1,5.014267563819885,25,1000,2.1985362157821657,0.9978404414758403,2.0546488165855408,0.18412744998931885,6.285147428512573,0.6504915460944176,4.548097380995751,0.025,0.975,True,False,False,2.8157313480377195,2.8218252447988137,25,0.021896637146955403,0.34759833863677725
PETR4.SA,423,2018-10-03,2018-07-11,2018-10-03,3,5,60,48,1,4.611131548881531,24,1000,2.177085010737181,0.9984709763005449,2.056515872478485,0.15151339769363403,6.586718440055847,0.6157821789383888,4.410303977131843,0.025,0.975,True,False,False,2.43404653814435,2.4377739522913178,24,0.026182518224298658,0.41563459151346427
PETR4.SA,437,2019-01-21,2018-10-19,2019-01-21,3,5,60,48,1,4.538166522979736,20,1000,2.1695962236523627,1.0153177376045128,2.028917282819748,0.3054361343383789,7.658523440361023,0.5912529818713665,4.46732317507267,0.025,0.975,True,False,False,2.3685702993273736,2.3328365216150497,20,0.026317353217122752,0.41777503066771465
PETR4.SA,455,2019-06-03,2019-03-08,2019-06-03,3,5,60,48,1,4.631649136543274,25,1000,2.177501001060009,0.9954662611422267,2.084509402513504,0.21631759405136108,6.738426327705383,0.7117976531386375,4.433583551645278,0.025,0.975,True,False,False,2.454148135483265,2.465325276486322,25,0.023442485963213282,0.3721379278307088
PETR4.SA,508,2020-06-26,2020-03-31,2020-06-26,3,5,60,48,1,4.952905654907227,25,1000,2.0881506738364695,0.9879343475187217,1.9565937519073486,0.15615415573120117,6.628257989883423,0.5461107477545738,4.354651936888694,0.025,0.975,True,False,False,2.864754981070757,2.8997422635075143,25,0.03174554047666969,0.5039448320196173
PETR4.SA,509,2020-07-03,2020-04-07,2020-07-03,3,5,60,48,1,4.377336740493774,23,1000,2.1269155177772046,0.9728311436446351,2.036294460296631,0.1779513955116272,6.0796685218811035,0.5511250168085098,4.338332012295723,0.025,0.975,True,False,False,2.25042122271657,2.3132701264944546,23,0.029910022601550935,0.4748068890721496
